stat,metric,value
count,f2_score,10.0
count,balanced_accuracy,10.0
count,recall,10.0
count,specificity,10.0
mean,f2_score,0.5137226914143268
mean,balanced_accuracy,0.6976794523306151
mean,recall,0.48225108225108215
mean,specificity,0.9131078224101479
std,f2_score,0.13454472307848586
std,balanced_accuracy,0.06528947383842197
std,recall,0.13854241749400686
std,specificity,0.03411100230391531
min,f2_score,0.2105263157894736
min,balanced_accuracy,0.5568181818181818
min,recall,0.1818181818181818
min,specificity,0.8604651162790697
25%,f2_score,0.4901960784313725
25%,balanced_accuracy,0.6810253699788583
25%,recall,0.4545454545454545
25%,specificity,0.8915169133192389
50%,f2_score,0.5354166666666667
50%,balanced_accuracy,0.7091638981173864
50%,recall,0.488095238095238
50%,specificity,0.9090909090909092
75%,f2_score,0.5700808625336927
75%,balanced_accuracy,0.7329545454545454
75%,recall,0.5454545454545454
75%,specificity,0.9261363636363636
max,f2_score,0.6944444444444444
max,balanced_accuracy,0.7840909090909091
max,recall,0.6818181818181818
max,specificity,0.9772727272727272
