stat,metric,value
count,f2_score,10.0
count,balanced_accuracy,10.0
count,recall,10.0
count,specificity,10.0
mean,f2_score,0.0
mean,balanced_accuracy,0.5
mean,recall,0.0
mean,specificity,1.0
std,f2_score,0.0
std,balanced_accuracy,0.0
std,recall,0.0
std,specificity,0.0
min,f2_score,0.0
min,balanced_accuracy,0.5
min,recall,0.0
min,specificity,1.0
25%,f2_score,0.0
25%,balanced_accuracy,0.5
25%,recall,0.0
25%,specificity,1.0
50%,f2_score,0.0
50%,balanced_accuracy,0.5
50%,recall,0.0
50%,specificity,1.0
75%,f2_score,0.0
75%,balanced_accuracy,0.5
75%,recall,0.0
75%,specificity,1.0
max,f2_score,0.0
max,balanced_accuracy,0.5
max,recall,0.0
max,specificity,1.0
