stat,metric,value
count,f2_score,10.0
count,balanced_accuracy,10.0
count,recall,10.0
count,specificity,10.0
mean,f2_score,0.533186993431314
mean,balanced_accuracy,0.7065249672807813
mean,recall,0.4997835497835498
mean,specificity,0.9132663847780128
std,f2_score,0.0666714772462399
std,balanced_accuracy,0.028959955462039475
std,recall,0.07382930424331441
std,specificity,0.03348489316489707
min,f2_score,0.4081632653061224
min,balanced_accuracy,0.6590909090909092
min,recall,0.3636363636363636
min,specificity,0.8409090909090909
25%,f2_score,0.49628712871287123
25%,balanced_accuracy,0.6954281183932347
25%,recall,0.4545454545454545
25%,specificity,0.907505285412262
50%,f2_score,0.5447680690399137
50%,balanced_accuracy,0.7102272727272727
50%,recall,0.5119047619047619
50%,specificity,0.9090909090909092
75%,f2_score,0.5755494505494505
75%,balanced_accuracy,0.716314935064935
75%,recall,0.5454545454545454
75%,specificity,0.93142177589852
max,f2_score,0.625
max,balanced_accuracy,0.7613636363636364
max,recall,0.5909090909090909
max,specificity,0.9545454545454546
