stat,metric,value
count,f2_score,10.0
count,balanced_accuracy,10.0
count,recall,10.0
count,specificity,10.0
mean,f2_score,0.56560321459594
mean,balanced_accuracy,0.73130725863284
mean,recall,0.5287878787878787
mean,specificity,0.9338266384778011
std,f2_score,0.08724300157215621
std,balanced_accuracy,0.050691082982459654
std,recall,0.093489623565055
std,specificity,0.04206825160254789
min,f2_score,0.4326923076923077
min,balanced_accuracy,0.625
min,recall,0.4090909090909091
min,specificity,0.8409090909090909
25%,f2_score,0.5138888888888888
25%,balanced_accuracy,0.712869978858351
25%,recall,0.46590909090909083
25%,specificity,0.9143763213530656
50%,f2_score,0.5825242718446602
50%,balanced_accuracy,0.7440539112050739
50%,recall,0.5454545454545454
50%,specificity,0.9426532769556024
75%,f2_score,0.5882352941176471
75%,balanced_accuracy,0.75
75%,recall,0.5454545454545454
75%,specificity,0.9545454545454546
max,f2_score,0.7281553398058253
max,balanced_accuracy,0.8116883116883117
max,recall,0.7142857142857143
max,specificity,1.0
